comments,label,comments_cleaned
hàng đúng mẫu giao nhanh màu lên đẹp lỳ nên thử hãng này,0,hàng mẫu giao màu đẹp lỳ thử hãng
son rất đẹp giao hàng nhanh rất hài lòng lần sau sẽ mua nữa,0,son đẹp giao hàng rất hài_lòng mua
màu đẹp shop đóng gói rất xinh đang nghiên cứu mua thêm màu nữa,0,màu đẹp shop đóng_gói xinh nghiên_cứu mua màu
son rất ok đã mua lần 4 nhưng mình thường mua trên web lần này thử qua shope rất thích,0,son ok mua 4 mua web lần thử shope rất
son bia last velvet lip tint xài siêu thích version nào chất son cũng mịn mướt màu lên môi siêu chuẩn hàng auth date dài sẽ còn ủng hộ các version sau này 3 😘,0,son bia last velvet lip tint xài siêu version chất son mịn mướt màu môi siêu chuẩn hàng auth date ủng_hộ version sau_này 3 😘
màu này thì khỏi nói rồi ha trendy dễ dùng độ bám tốt điểm cộng lớn nhất là bản vỏ xanh này siêu đẹp lạ,0,màu ha trendy độ bám cộng nhất_là vỏ xanh này siêu đẹp lạ
shop giao hàng nhanh đóng gói cẩn thận rất thích thanks 😘,0,shop giao hàng đóng_gói cẩn_thận thanks 😘
giao hàng nhanh đóng gói chắc chắn và đẹp chất son mịn đẹp ❤,0,giao hàng đóng_gói chắc_chắn đẹp chất son mịn đẹp ❤
đặt 25 nhưng giao 23 không khác gì treo đầu dê bán thịt chó nhưng mình lỡ bóc hàng mà không quay video nên không nói lí được,1,25 giao 23 treo đầu dê thịt chó nhưng lỡ bóc hàng không video không lí
lười chụp ảnh quá nên lấy ảnh này son đẹp chất son okie lên màu chuẩn,0,lười chụp ảnh ảnh son đẹp chất son okie màu chuẩn
màu 25 đẹp lắm luôn thích hợp dùng mùa đông này,0,màu 25 đẹp lắm thích_hợp mùa đông
mình đã nhận và rất hài lòng về sản phẩm đóng gói sản phẩm chắc chắn giao hàng nhanh chúc shop ngày càng thành công hơn,0,hài_lòng sản_phẩm đóng_gói sản_phẩm chắc_chắn giao hàng chúc shop ngày_càng thành_công
chất son cực đẹp khỏi phải bàn cãi mình rất thích cách gói hàng của shop cẩn thận và hộp rất đẹp luôn,0,chất son cực đẹp bàn_cãi gói hàng shop cẩn_thận hộp rất đẹp
giao hàng nhanh đẹp,0,giao hàng đẹp
giao hàng lâu nhắn tin hỏi shop không trả lời đợi lâu quá hủy hàng mới thấy giao không cho hủy hàng,1,giao hàng nhắn_tin shop trả_lời đợi lâu hủy hàng giao không hủy_hàng
vì địa chỉ khá xa nhưng mình rất bất ngờ là shop giao hàng nhanh đóng gói sản phẩm đẹp và chắc chắn mình rất yên tâm vì hàng chính hãng nữa nói chung là rất đáng tiền 3,0,địa_chỉ bất_ngờ shop giao hàng đóng_gói sản_phẩm đẹp chắc_chắn mình rất yên_tâm vì hàng hãng nói_chung là rất tiền 3
ghi giảm thâm nhưng nhận son chỉ ghi là dưỡng môi giữ ẩm chống khô môi,1,ghi thâm son ghi dưỡng môi ẩm chống khô môi
mình mua lúc được sale nhìn vỏ xinh yêu cực ấy hơi nhỏ so với mình nghĩ nhưng mà xinh là bỏ qua hết,0,mua sale vỏ xinh yêu cực hơi mình xinh bỏ_qua
tuyệt,0,tuyệt
shop đóng gói xinh dã man ý trông như hộp quà màu son đẹp khỏi bàn luôn ❤,0,shop đóng_gói xinh dã_man trông hộp quà màu son đẹp bàn ❤
mình nhận đk hàng rồi nè vỏ xanh iêu thế kết bạn dùng merzy bị quen rồi ấy nên cũng chả buồn đổi sang loại khác nữa giao hàng nhanh nữa nè lần sau lại ủng hộ shop tiếp,0,đk hàng nè vỏ xanh iêu kết_bạn merzy quen rồi chả buồn đổi giao hàng nữa nè ủng_hộ shop tiếp
vỏ son đẹp màu cũng đẹp lâu trôi mùi thơm,0,vỏ son đẹp màu đẹp trôi mùi thơm
cầm chắc tay vỏ đẹp son lên màu đẹp mịn mùi thơm nhưng hơi khó tán,0,cầm_chắc_tay vỏ đẹp son màu đẹp mịn mùi thơm hơi tán
son chính hãng màu đẹp thơm nữa,0,son hãng màu đẹp thơm
son đẹp chêk ra hàng mài cũng ưng nha,0,son đẹp chêk hàng mài ưng_nha
màu 12 siêu xinh không biết mua bao nhiêu thỏi rồi hehe vẫn ưng,0,màu 12 siêu xinh mua bao_nhiêu thỏi hehe ưng
vỏ đẹp lên màu chuẩn chất son nhẹ mềm lâu trôi,0,vỏ đẹp màu chuẩn chất son nhẹ mềm trôi
mua được 2 màu hot trend với giá khá hời tuy nhiên hơi buồn vì bình thường mua 2 thỏi vẫn được tặng kèm gương nhỏ cầm tay mà lần này đơn mình không được tặng,2,mua 2 màu hot_trend giá hời tuy_nhiên hơi buồn bình_thường mua 2 thỏi được tặng kèm gương cầm đơn được tặng
mình đã mua n cây son v6 rồi mua màu khác vẫn không thích bằng v6 cực ưng độ bám màu của ẻm nên sáng nào cũng dùng trong ngày ăn nhìu bị trôi bớt còn lớp stain màu thì mới dặm lại bằng son khác thôi giá sale 19k quá ngon 😂 😘,0,mua n son v6 mua màu v6 cực ưng độ bám màu ẻm nhìu trôi bớt lớp stain màu dặm bằng son khác giá sale 19k ngon 😂 😘
son rất okie,0,son okie
chẳng có hộp gì cả bùn hiu ngồi canh voucher thấy bà nội luôn mà cảm giác như bị lừa ý chả có voucher giảm 10k đâu nha mấy bạn,1,chẳng hộp bùn hiu canh voucher nội cảm_giác lừa chả có voucher 10k nha mấy
màu số 1 cực yêu luôn thoa lên môi mềm mượt siêu yêu,0,màu 1 cực yêu thoa môi mềm mượt siêu yêu
binh thuong trôi nhanh,1,binh thuong trôi
đóng gói sản phẩm cẩn thận chắc chắn giao đúng màu son chất son và màu son rất ưng,0,đóng_gói sản_phẩm cẩn_thận chắc_chắn giao màu son chất son màu son ưng
phần dưỡng bị vón cục son loãng lên môi bị bột,1,dưỡng vón cục son loãng môi bị bột
dùng 4 cây rồi không cần đánh giá nhiều nữa ạ cây son best nhất trong lòng 😂,0,4 đánh_giá cây son best 😂
son auth lên màu chuẩn dùng thích lắm về độ nổi tiếng của em này thì khỏi bàn nhá đây là lần đầu tiên mình mua của oficial store và thực sự cảm thấy được yêu thương vì package quá xinh còn giao hàng thì cực đúng hẹn 🌟 💋,0,son auth màu chuẩn lắm độ nổi_tiếng bàn nhá đầu_tiên mua của oficial store thực_sự cảm_thấy yêu_thương package xinh giao hàng thì cực hẹn 🌟 💋
giao hàng cũng nhanh gói hàng ổn vỏ son nhìn xinh ghê mua trên mal nên cũng khá an tâm,0,giao hàng gói hàng ổn vỏ son xinh ghê mua mal cũng an_tâm
cây mini jujube cực kỳ ít son không biết có phải bị dùng rồi không cây này thì không có hộp giấy vì là tách set chất son cực khô không có độ bóng và ẩm mềm nhiều như những cây khác cây pink pumpkin mình mua fulsize nên có hộp giấy màu yêu bóng ẩm mượt đúng như miêu tả,1,mini jujube cực_kỳ son không cây không có hộp giấy tách set chất son cực khô không có độ bóng ẩm mềm cây cây pink pumpkin mua fulsize có hộp giấy màu yêu bóng ẩm mượt như miêu_tả
son mùi như nước rửa bát ý,1,son mùi rửa_bát
mịn đẹp giao hơi lâu,0,mịn đẹp giao hơi
chất lượng sản phẩm tốt thời gian giao hàng nhanh đóng gói bình thường,0,chất_lượng sản_phẩm thời_gian giao hàng đóng_gói bình_thường
siêu đẹp siêu ưng gửi hàng nhanh mà đóng gói chắc chắn cẩn thận ❤,0,siêu đẹp siêu ưng gửi hàng đóng_gói chắc_chắn cẩn_thận ❤
cam san hô nhưng base hồng bôi lên như màu hồng v đó quý dị,1,cam san_hô base hồng bôi màu hồng v quý dị
chast lượng sản phẩm tuyệt vời shope mal nên rất yên tâm,0,chast sản_phẩm tuyệt_vời shope mal yên_tâm
đau buồn màu son không giống rất không hài lòng,1,đau_buồn màu son không hài_lòng
cho 3 sao thôi vì thông tin cung cấp chưa đầy đủ về deal,2,3 thông_tin cung_cấp đầy_đủ deal
son lên màu đẹp chất kem mịn bám lâu rất hài lòng giao hàng nhanh,0,son màu đẹp chất kem mịn bám hài_lòng giao hàng
son lên màu cực đẹp nhìn tây vô cùng luôn giá rẻ chất mịn hơi bột và khô một xíu nhưng nhìn chung là ổn đây là lần 2 mình mua ở đây và mọi thứ chưa từng làm mình thất vọng giao hàng nhanh shiper đáng yêu,0,son màu cực đẹp tây vô_cùng giá rẻ chất mịn hơi bột khô xíu nhìn_chung ổn là 2 mua đây và mình thất_vọng giao hàng shiper yêu
cây son rất bé nhưng khi nhận hàng từ shiper mình rất ngạc nhiên tin tưởng và thích thú sẽ ủng hộ tiếp ạ,0,son bé hàng shiper rất ngạc_nhiên tin_tưởng thích_thú ủng_hộ tiếp
son siêu lì màu lên đẹp không bị khô môi nói chung siêu thích lun nha,0,son siêu lì màu đẹp khô môi nói_chung siêu lun nha
sản phẩm siêu ưng khá lì màu lại đẹp nữa chứ cám ơn shop ạ 😍,0,sản_phẩm siêu ưng lì màu đẹp cám_ơn shop 😍
màu hơi tối chất son không hài lòng lắm đánh cảm giác không được mềm môi,1,màu hơi tối chất son hài_lòng lắm đánh cảm_giác không mềm_môi
shop yêu ơi màu 14 đẹp lắm ạ cảm ơn shop nhiệt tình tue vấn cho tớ nhé 😍,0,shop yêu màu 14 đẹp lắm cảm_ơn shop nhiệt_tình tue vấn 😍
đóng gói sản phẩm chắc chắn chất lượng sản phẩm rất tốt giao hàng hơi chậm,0,đóng_gói sản_phẩm chắc_chắn chất_lượng sản_phẩm giao hàng hơi chậm
mịn tốn ít son hợp cả da trắng và ngăm,0,mịn tốn son hợp da trắng ngăm
son cầm chắc tay màu sắc dễ dùng mềm môi và rất lì nói chung là nên mua,0,son cầm_chắc_tay màu_sắc mềm_môi lì nói_chung mua
đỏ máu chứ không phải đỏ đất,2,đỏ máu đỏ đất
son cam cháy mà lên có hơi hồng với đỏ ít sắc cam không như hình mùi hắc dễ trôi được cái đóng gói đẹp,1,son cam cháy hơi hồng đỏ sắc cam hình mùi hắc trôi đóng_gói đẹp
ưng ý hộp đóng cẩn thận chắc chắn siêu yêu,0,ưng_ý hộp đóng cẩn_thận chắc_chắn siêu yêu
son mịn đánh lên môi cực thích màu son rất đẹp vỏ son đẹp 😍,0,son mịn đánh môi cực màu son đẹp vỏ son đẹp 😍
lần đầu tiên mua mal quốc tế khá là thất vọng shiper thì thái độ khó chịu với khách hàng hàng về bưu cục 3 ngày mới đi phát hàng,1,đầu_tiên mua mal quốc_tế thất_vọng shiper thái_độ khó_chịu khách_hàng hàng bưu_cục 3 đi phát hàng
shop giao hàng nhanh được tặng lịch nữa cảm ơn shop nhiều sẽ ủng hộ shop,0,shop giao hàng tặng lịch cảm_ơn shop ủng_hộ shop
💜,0,💜
son thơm nhẹ xài tốt như các version trước giao hàng nhanh đóng hộp xinh ưng,0,son thơm nhẹ xài version giao hàng đóng_hộp xinh ưng
son lên màu đẹp và ít bị trôi khi ăn mùi rất thơm nữa màu 25 phù hợp với mọi loại da luôn á,0,son màu đẹp trôi mùi thơm màu 25 phù_hợp da
mình là 1 đứa chuyên dùng high end cái gì hot cg mua thử cho vui thôi xong rồi vứt lăn lốc đó 25 nổi quá nên thử mua xem tnao mà nổi eo ơi đỉnh chất kem mềm mịn bám môi nchung ưng nhất luôn không đỡ được mình không ưng mùi cảm giác mùi hơi khó nhưng về công dụng chính là son lên môi quá đỉnh ưng,0,1 đứa chuyên_dùng high end hot_cg mua thử vui xong vứt lăn lốc 25 nổi thử mua tnao nổi eo đỉnh chất kem mềm mịn bám môi nchung ưng đỡ mình không ưng mùi cảm_giác mùi hơi công_dụng là son môi quá đỉnh ưng
son xinh thơm lắm nhỏ dễ chịu lắm luon,0,son xinh thơm lắm dễ_chịu lắm luon
son màu đẹp khỏi chê mua shop mal có tem phụ hẳn hoi đợt sale vừa giảm giá lại vừa kèm thêm mã giảm giá nữa quá rẻ luôn,0,son màu đẹp chê mua shop mal tem phụ hẳn_hoi đợt sale giảm_giá vừa kèm mã giảm_giá rẻ
không biết có phải chính hãng không nhưng đóng gói sản phẩm đẹp và cẩn thận son mùi thơm test thử thấy son không bền mầu lắm,2,hãng không đóng_gói sản_phẩm đẹp cẩn_thận son mùi thơm test thử son không bền mầu lắm
vì sao tem lại bị cắt ra trước như vậy dùng lại vỏ hộp rồi đánh tráo son thật giả à thấy mọi người đánh giá cũng tốt nên mới mua nhưng thất vọng quá,1,vì_sao tem cắt lại vỏ hộp đánh_tráo son giả đánh_giá mua thất_vọng
son màu lên xinh ạ ăn có trôi nhưng ít nhìn chung như vậy là tốt rồi,0,son màu xinh trôi nhìn_chung như_vậy
màu cam đất khá đẹp lên môi màu chuẩn nhưng chất son khá khô mặc dù mình đã dùng son dưỡng trước đó thêm nữa là son làm lộ vân môi khá rõ và khi ăn uống phần son trong lòng môi trôi mất chỉ còn viền bên ngoài nên khá mất thẩm mĩ,2,màu cam đất đẹp môi màu chuẩn chất son khá khô mặc_dù son dưỡng son lộ vân môi khá ăn_uống phần_son môi trôi viền khá mất thẩm_mĩ
dính dính khó chịu,1,dính dính khó_chịu
giao hàng siêu nhanh chất lượng siu xịn,0,giao hàng siêu chất_lượng siu xịn
giao hàng chậm giao sai màu son đặt a23 giao a26,1,giao hàng chậm giao sai màu son a23 giao a26
màu son lâu trôi lên màu đẹp độ dưỡng môi bình thường nếu mua dưỡng môi thì không nên,2,màu son trôi màu đẹp độ dưỡng môi bình_thường mua dưỡng môi
màu son nhẹ nhàng đánh lên rất xinh không sợ bị đậm quá hay cam quá,0,màu son nhẹ_nhàng đánh xinh sợ đậm cam quá
màu đẹp nhưng độ bám không tốt dễ phai màu son thơm mùi scocola,2,màu đẹp độ bám phai màu son thơm mùi scocola
son đẹp nhưng mau trôi lâu sơ là ra hết mùi hôi khó chịu,2,son đẹp mau trôi sơ mùi hôi khó_chịu
màu khác so với hình rất nhiều màu lên môi sáng cực khác hình 90 cân nhất khi mua nhá mọi người,1,màu hình màu môi cực khác hình 90 cân mua nhá
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn rất tiền
shop giao hàng siêu nhanh bọc gói cẩn thận mua lần thứ 2 ròi vẫn ưng như lần đầu,0,shop giao hàng siêu bọc gói cẩn_thận mua 2 ròi ưng lần đầu
shop giao hàng nhanh chất lượng sản phẩm rất tuyệt vời 👍,0,shop giao hàng chất_lượng sản_phẩm tuyệt_vời 👍
aw son auth siêu mịn màu xanh của vỏ siêu đẹp siêu sang ưng,0,aw son auth siêu mịn màu xanh vỏ siêu đẹp siêu ưng
mùi không giống ảnh mùi khó chịu,1,mùi ảnh mùi khó_chịu
lựa chọn mua nhiều lần thì cũng phải có lý do của nó mỗi lần mua là mỗi lần ưng 😍,0,lựa_chọn mua có_lý_do lần mua mỗi lần ưng 😍
mình mua x2 son mà sao tiki giao cho có 1 cây,1,mua x2 son tiki giao 1
quá tuyệt luôn màu lên đúng chuẩn đỏ gạch chỉ 1 lớp rất mỏng đánh lòng môi thôi cũng lên đúng màu rồi mình không thấy base hồng như một số bạn nhận xét chắc do cơ địa môi mình nữa tuyệt vời,0,tuyệt màu chuẩn đỏ gạch_chỉ 1 lớp mỏng đánh môi lên đúng màu base hồng một_số nhận_xét cơ_địa môi mình tuyệt_vời
mùi siêu thơm chất siêu mịn màu siêu đẹp,0,mùi siêu thơm chất siêu mịn màu siêu đẹp
chất lượng tuyệt vời đóng gói sản phẩm đẹp giao hàng nhanh đã dùng đến cây thứ 4 của shop chưa bao giờ làm mình thất vọng,0,chất_lượng tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng 4 shop bao_giờ thất_vọng
chất luojngw san pham tot son đẹp hộp xinh phục vụ tốt giao hàng hơi lâu 😍,0,chất luojngw san pham tot son đẹp hộp xinh phục_vụ giao hàng hơi 😍
sản phẩm cũng ok dưỡng tự nhiên nên dùng lâu dài mới biết có tốt không,0,sản_phẩm ok dưỡng tự_nhiên lâu_dài
son xinh đánh không bị khô sau 3h thì hơi nhạt màu đi 1 tẹo đóng gói rất cẩn thận,0,son xinh đánh khô 3h hơi nhạt màu đi 1 tẹo đóng_gói cẩn_thận
màu cũng được hơi mau khô dễ bết và không mịn nhé,1,màu hơi mau khô bết mịn
son mượt mịn lâu trôi lên màu đẹp giá cả họp lí nói chung là dùng thích lắm ạ,0,son mượt mịn trôi màu đẹp giá_cả họp lí nói_chung lắm
đóng gói cẩn thận có gắn tem chống giả rất thơm mùi,0,đóng_gói cẩn_thận gắn tem chống giả thơm mùi
hộp gói hàng cực xinh luôn mình thì đung quen bia rồi nên không có ý kiến gì nhiều màu 15 xinh thật sự 🤩,0,hộp gói hàng cực xinh đung quen bia ý_kiến màu 15 xinh thật_sự 🤩
màu son rất đẹp chất son mềm mịn mướt không lì quá cũng không nhanh trôi quá giao hàng rất nhanh,0,màu son đẹp chất son mềm mịn mướt lì không trôi quá giao hàng rất nhanh
thật sự màu siêu xinh luôn toàn mua son của bia không yêu quá 3 ♥,0,thật_sự màu siêu xinh toàn mua son bia yêu 3 ♥
son có mùi khó chịu son khó tán màu bị bết test thử thấy chất lượng kém nên mình không dùng nữa,1,son mùi khó_chịu son tán màu bết test thử chất_lượng kém
đóng gói kỹ màu son đẹp mình mua lần 2 rồi cám ơn shop 3,0,đóng_gói kỹ màu son đẹp mua 2 cám_ơn shop 3
hàng như hình son lên nhìn có vẻ hơi khô xin đổi sang màu 2 mà shop hết hàng mất hơi buồn 😔,2,hàng hình son vẻ hơi khô đổi màu 2 shop hàng hơi buồn 😔
chất lượng tốt son bao đẹp gói hàg siêu yêu ưng quá luôn ý hihi mãi yêu shop dễ thương lắm ý mua mấy lần rồi lần nào cũng ưng trên từng cây số ❤,0,chất_lượng son bao đẹp gói hàg siêu yêu ưng hihi mãi yêu shop dễ_thương lắm ý mua mấy lần ưng cây_số ❤
son giao đúng mẫu đúng màu ship khá nhanh 😚,0,son giao mẫu đúng màu ship 😚
siêu xinh,0,siêu xinh
thực sự là đẹp lắm luôn ạ chưa lần nào mua son trên mạng mà ưng như lần nàyđẹp hơn sức tưởng tượng của em lần sau nhất định sẽ ủng hộ shop ạ 😊 😘,0,thực_sự đẹp lắm mua son mạng ưng lần nàyđẹp sức tưởng_tượng lần nhất_định ủng_hộ shop ạ 😊 😘
màu đẹp giao nhanh cực kì,0,màu đẹp giao cực_kì
màu son xinh lắm ấy dễ dùng tôn da cực kì dùng son của khá nhiều hãng rồi nhưng thấy bia là sự lựa chọn rất đáng đồng tiền bát gạo mình cũng không kén mùi lắm nên mùi chấp nhận được chất son không khô môi nhiều nhưng lại nhanh trôi tổng thể em này ok lắm nhé nhé 😉,0,màu son xinh lắm tôn da cực_kì dùng son hãng bia lựa_chọn đồng_tiền bát gạo kén mùi lắm mùi chấp_nhận chất son không khô môi nhiều nhưng trôi tổng_thể ok lắm nhé 😉
canh mãi mới mua được màu 25 vì màu hot nên hết hàng cực nhanh mới thử lên môi thì màu son lên chuẩn tôn da mềm môi trước có dùng cây màu 23 giờ dùng thêm cây 25 để thay đổi màu son khi đi chơi,0,canh mãi mua màu 25 màu hot hàng cực mới thử môi màu son lên chuẩn_tôn da mềm_môi màu 23 dùng cây 25 thay_đổi màu son đi
giao hàng nhanh đủ có 2 cây son mà shop bỏ vào hộp xinh ghê son khá mướt mịn màu đẹp,0,giao hàng 2 son shop hộp xinh ghê_son mướt mịn màu đẹp
sơn không giống ảnh màu sơn dầy cộp ú ụ lên vẫn không giống ảnh sơn cũng đểu nữa,1,sơn ảnh màu sơn dầy_cộp ú ụ không giống ảnh sơn đểu
son màu đẹp cực luôn ạ,0,son màu đẹp cực
mình không thích màu son lắm mặc dù lên hình là màu đỏ tem ghi là đỏ nhưng đánh ra lại là hồng 🤦,1,màu son lắm mặc_dù hình màu đỏ tem ghi là đỏ đánh là hồng 🤦
màu a03 chiang mai rất đẹp ạ dùng khi đi học cũng rất ổn vì đã tặng bạn rồi nên không còn hình để chụp facebook nên để ảnh này như mình lúc nhận được son phải nói là mê tít luôn ấy 3,0,màu a03 chiang mai đẹp đi học rất ổn tặng hình chụp facebook nên để ảnh son mê_tít 3
màu v17 là ưng nhất không đậm như hình đâu các cậu đóng gói hàng kĩ shiper dễ chịu đây là mua lần thứ 3 rồi vẫn cứ bị hài lòng với shop ❤,0,màu v17 ưng đậm hình đóng_gói hàng kĩ shiper dễ_chịu là mua 3 hài_lòng shop ❤
chất lượng sản phẩm tốt đóng gói rất chắc chắn thời gian giao hàng nhanh,0,chất_lượng sản_phẩm đóng_gói chắc_chắn thời_gian giao hàng
đóng gói sản phẩm rất tốt,0,đóng_gói sản_phẩm
mau trôi quá dùng tay bôi cũng được,1,mau trôi bôi
sp đẹp y hình chất lượng sẽ mua lần sau nbpbpb hjkv,0,sp đẹp y hình chất_lượng mua nbpbpb hjkv
okm,0,okm
mua 3 thỏi bên shop rồi mà lần nào cũng ưng vãi cải đái luônson đẹp quá còn không nỡ khui vỏ huhu 🙈 🤤,0,mua 3 thỏi shop ưng vãi cải đái luônson đẹp nỡ khui vỏ huhu 🙈 🤤
màu đẹp son mịn,0,màu đẹp son mịn
trải nghiệm sản phẩm tệ son mềm vừa thoa đã gãy sẽ không mua lại lần thứ hai,1,trải nghiệm sản_phẩm tệ son mềm thoa gãy mua hai
đóng gói sản phẩm đẹp son đẹp chất lượng tốt sẽ tiếp tục ủng hộ,0,đóng_gói sản_phẩm đẹp son đẹp chất_lượng tiếp_tục ủng_hộ
son không lì mùi thơm nhẹ giao hàng nhanh đóng gói kĩ,2,son lì mùi thơm nhẹ giao hàng đóng_gói kĩ
mua ở shope mal nên vô vùng yên tâm mỗi tội chờ mấy ngày sau mới nhận được,2,mua shope mal vô yên_tâm tội chờ mấy
màu son xinh lắm nha gần giống br a02 nhưng lì hơn lần t2 mua son của shop shop mal nên yên tâm lắm nè,0,màu son xinh lắm nha br a02 lì t2 mua son shop shop mal yên_tâm lắm nè
hộp đẹp son xinh lên màu yêu nói chung hài lòng giao hàng hơi lâu xíu,0,hộp đẹp son xinh màu yêu nói_chung hài_lòng giao hàng hơi xíu
màu son rất xunh hàng giao nhanh và gói hàng cẩn thận có dịp sẽ tiếp tục ủng hộ,0,màu son xunh hàng giao gói hàng cẩn_thận dịp tiếp_tục ủng_hộ
chất son rất xịn lỏng nhưng mướt nhẹ cảm giác như không đánh luôn thơm mùi sting dâu nhưng phải tán nhanh không nhanh khô lạ bản noel đánh 1 lớp thì ra đỏ hồng chồng thêm mới ra đỏ gạch,0,chất son xịn lỏng mướt nhẹ cảm_giác như_không đánh thơm mùi sting dâu nhưng tán nhanh khô lạ noel đánh 1 lớp đỏ hồng chồng ra đỏ gạch
rất đẹp,0,đẹp
son đẹp màu đẹp chất lượng giao hàng nhanh đa mua lần thứ 2,0,son đẹp màu đẹp chất_lượng giao hàng đa mua 2
chất son đẹp đóng gói kĩ càng ♥ 🌳 🌻 🍀,0,chất son đẹp đóng_gói kĩ_càng ♥ 🌳 🌻 🍀
shop đóng gói sản phẩm rất đẹp và chắc chắn màu 25 rất xinh luôn,0,shop đóng_gói sản_phẩm đẹp chắc_chắn màu 25 rất xinh
đã dùng loại này được 3 năm vẫn luôn hài lòng,0,3 hài_lòng
màu son siêu xinh thơm dịu rất thích nhé ❤,0,màu son siêu xinh thơm dịu ❤
son ok nhưng shop quên sp tặng kèm như quảng cáo cho mình không trả lời chán,1,son ok shop quên sp tặng kèm quảng_cáo trả_lời chán
quảng cáo là son giữ màu lâu nhưng thực tế rất nhanh trôi ạ,1,quảng_cáo son màu thực_tế trôi
thỏi thứ mấy mình mua màu đỏ cam rồi trên ả là trên 02 dưới 25 chất son mềm mịn đóng gói đẹp lắm nh mình cứ nhớ là mua 2 thỏi được tặng kèm gì cơ không có nên hơi buồn xíu 😂,0,thỏi mấy mua màu đỏ cam ả trên 02 25 chất son mềm mịn đóng_gói đẹp lắm nh mình là mua 2 thỏi tặng kèm hơi buồn xíu 😂
son đẹp mùi thơm dễ chịu giao hàng nhanh shiper thân thiện,0,son đẹp mùi thơm dễ_chịu giao hàng shiper thân_thiện
nhìn thôi đã ưng liền rồi thỏi son cầm lên nhẹ cảm giác khiến mình rất thích thú và thoải mái nhìn sang mà rất cưng luôn 3 chất son mịn thơm thơm dễ tán lì lên màu tone trầm mình rất ưng 3 v6 blue,0,ưng liền thỏi son cầm nhẹ cảm_giác thích_thú thoải_mái nhìn rất cưng 3 chất son mịn thơm thơm tán lì lên màu tone trầm_mình rất ưng 3 v6 blue
shop giao hàng nhanh và giao đúng màu rất chim ưng vì đúng màu mình thích 👍 😍,0,shop giao hàng giao màu chim ưng đúng màu 👍 😍
đóng gói sản phẩm rất đẹp và chắc chắn màu son thích lắm bôi mềm mại,0,đóng_gói sản_phẩm đẹp chắc_chắn màu son lắm bôi mềm_mại
tưởng màu 18 không đẹp bị sến ai dè đẹp kinh khủng thích hợp với bạn da trắng nha không khô môi mịn mướt 👍,0,tưởng màu 18 đẹp sến dè đẹp kinh_khủng thích_hợp da trắng nha không khô môi mịn mướt_👍
mình đã nhận được hàng màu đẹp bao bì tốt nhưng mình không tìm thấy ngày sản xuất hoặc hạn sử dụng trên bao bì bôi lên môi thì nghe mùi như son để lâu rồi khó hiểu,1,hàng màu đẹp bao_bì mình sản_xuất hạn sử_dụng bao_bì bôi môi mùi như_son
màu không giống hình lắm,1,màu hình lắm
mình cảm thấy màu son không giống với màu trên hình lắm vì theo mình thấy thì nó như màu đỏ rượu không có base cam bù lại chất son lên môi khá mịn và mướt nhưng mình có điều thắc mắc là tại sao số của màu 14 lại khác với nhưng màu khác,2,cảm_thấy màu son màu hình lắm mình màu đỏ rượu không base cam_bù chất son môi mịn mướt mình có thắc_mắc tại_sao màu 14 lại với nhưng màu khác
vừa mới nhận được hàng shop đóng gói cẩn thận và giao hàng nhanh chất son mịn thơm màu đẹp hợp đánh vào mùa đông,0,vừa_mới hàng shop đóng_gói cẩn_thận giao hàng chất son mịn thơm màu đẹp hợp đánh mùa đông
ảnh và màu son không tương thích 04 như màu nude rất kén da,1,ảnh màu son tương_thích 04 màu nude kén da
chất son rất mịn đẹp thân son rất nhẹ cầm lên tay rất xịn xò giao hàng rất nhanh,0,chất son mịn đẹp thân son rất nhẹ cầm lên_tay rất xịn xò giao hàng rất
mua có cây son thôi mà shop gửi em cái gì mịn vậy lại còn thơm nữa chứ haiz màu thì chuẩn quá rồi,0,mua son shop gửi mịn_vậy thơm haiz màu chuẩn
bạn mình mua 20k thỏi này vì nó là hàng sách tay tuy hơi khác cái tem nhưng nó là 2 chị em sinh đôi à luông ủng hộ shop ❤ 🥰,0,mua 20k thỏi hàng sách hơi tem nó là 2 chị_em sinh_đôi luông ủng_hộ shop ❤ 🥰
gói hàng cute vỏ son tráng gương cực thích màu son tuyệt vời da ngăm đánh lên vẫn tôn da răng cực kì có tem chống hàng giả yêu màu 25 lắm sẽ tiếp tục ủng hộ shop son thơm mùi trái cây,0,gói hàng cute vỏ son tráng gương cực màu son tuyệt_vời da ngăm đánh tôn da cực_kì tem chống hàng giả yêu màu 25 lắm tiếp_tục ủng_hộ shop son thơm mùi trái_cây
giao hàng nhanh sản phẩm chất lượng tốt khá hài lòng về shop,0,giao hàng sản_phẩm_chất_lượng hài_lòng shop
son lên màu khác hoàn toàn mua màu 19 mà đáng lên không có chút cam nào son lên môi khô,1,son màu hoàn_toàn mua màu 19 lên chút cam son lên môi khô
son xịn đóng gói chắc chắn cẩn thận mỗi tội shiper hơi vô duyên tẹo nhưng vẫn cho 5 về chất lượng ❤,0,son xịn đóng_gói chắc_chắn cẩn_thận tội shiper hơi vô_duyên tẹo 5 chất_lượng ❤
